NumberOfExample,AverageQuadraticErrorTest,AverageQuadraticErrorLearning,MistakePerEpochTest,MistakePerEpochLearning
120000.0,12.147000302922335,12.556337926547567,14.566666666666666,15.020833333333334
125000.0,12.159781136658635,12.676964180854341,14.299999999999999,15.085416666666667
130000.0,12.056080296475036,12.384935917101233,14.933333333333335,15.104166666666666
135000.0,11.971300836026298,12.501696900980145,14.299999999999999,15.164583333333335
140000.0,11.718249375008721,12.0431810676899,14.458333333333334,14.71875
145000.0,11.866554917700741,12.175941226937956,14.633333333333335,14.956249999999999
150000.0,11.915817638982432,12.359208842834772,14.341666666666667,14.924999999999999
155000.0,12.329538495910294,12.731268909916032,15.041666666666668,15.38125
160000.0,11.500753787552826,11.926029764719303,13.758333333333333,14.535416666666666
165000.0,11.867053615803568,12.4089869353842,14.224999999999998,15.177083333333332
170000.0,11.57032280895407,11.982492543757054,14.325,14.554166666666667
175000.0,11.982480331519614,12.321329614962181,14.674999999999999,15.031249999999998
180000.0,11.70897023263543,12.19235557370939,14.191666666666666,14.947916666666666
185000.0,11.466606063780379,11.941189746006586,14.158333333333333,14.591666666666667
190000.0,11.702597097556861,12.123883258430736,14.391666666666666,15.0875
195000.0,11.50017370001504,11.96246670417712,14.241666666666667,14.702083333333333
0.0,197.37295123728177,197.46706702472872,85.475,85.60208333333334
5000.0,39.56554745677691,39.569836672005806,56.68333333333333,56.73541666666667
10000.0,29.712682932359424,30.007517159515835,37.425000000000004,38.264583333333334
15000.0,23.040525031253942,23.538901810108598,25.266666666666666,26.366666666666667
20000.0,20.232060930058765,20.85108816365391,20.166666666666664,21.391666666666666
25000.0,18.389596024394265,19.070797811856625,19.041666666666668,19.9625
30000.0,17.08743604509744,17.787395774689475,18.125,19.38958333333333
35000.0,16.72398442803933,17.374824970264537,17.833333333333336,19.15833333333333
40000.0,14.953528059886626,15.916027591541223,16.275000000000002,18.331249999999997
45000.0,15.166946588143915,15.83518287737328,17.066666666666666,17.829166666666666
50000.0,15.040036382955545,15.548378586206296,17.150000000000002,17.939583333333335
55000.0,13.760031545563026,14.34067627230187,15.808333333333332,16.62291666666667
60000.0,14.138167468844967,14.787394678421972,16.716666666666665,17.891666666666666
65000.0,13.299334545435562,13.927435404043505,15.583333333333332,16.647916666666667
70000.0,13.789531192311767,14.4421406311876,15.9,16.789583333333333
75000.0,13.53731252367609,14.048324739091333,15.933333333333334,16.48125
80000.0,13.037850245571148,13.601214169734973,15.516666666666667,16.31875
85000.0,13.0659485329357,13.522047615631367,15.241666666666667,15.818750000000001
90000.0,13.067732328070718,13.70881135230954,15.316666666666666,16.08125
95000.0,13.020312531329456,13.55364288745984,15.7,16.15833333333333
100000.0,12.686981900969974,13.221442017245275,15.291666666666668,15.958333333333332
